Timestamp,Invoice ID,Account Number,Amount,Type,Description,Anomaly Type
2024-01-01 00:00:00,INV-0001,3702210822,$40177.55,Debit,Supplier Y,Large Debit
2024-01-02 00:00:00,INV-0002,5133081485,$9752.75,Credit,Client C,
2024-01-03 00:00:00,INV-0003,9054406394,$2251.63,Credit,Client B,
2024-01-04 00:00:00,INV-0004,2937198948,$5818.54,Credit,Client B,
2024-01-05 00:00:00,INV-0005,6918726138,$7222.61,Debit,Supplier Z,
2024-01-06 00:00:00,INV-0006,8697970317,$7264.06,Credit,Client B,
2024-01-07 00:00:00,INV-0007,6534468636,$2944.77,Debit,Supplier Z,
2024-01-08 00:00:00,INV-0008,3398387657,$6982.2,Debit,Supplier Z,
2024-01-09 00:00:00,INV-0009,2918234629,$3487.57,Credit,Client C,
2024-01-10 00:00:00,INV-0010,3361126671,$7414.45,Debit,Supplier Z,
2024-01-11 00:00:00,INV-0011,5541684569,$4022.28,Credit,Client B,
2024-01-12 00:00:00,INV-0012,5793200385,$3805.59,Debit,Supplier Z,
2024-01-13 00:00:00,INV-0013,6256588917,$8440.08,Debit,Supplier Y,
2024-01-14 00:00:00,INV-0014,2805839125,$2989.66,Debit,Supplier Y,
2024-01-15 00:00:00,INV-0015,3497209948,$3458.41,Debit,Supplier Z,
2024-01-16 00:00:00,INV-0016,2729744570,$3507.18,Debit,Supplier Z,
2024-01-17 00:00:00,INV-0017,9163502853,$5996.48,Credit,Client C,
2024-01-18 00:00:00,INV-0018,8055052371,$1432.55,Credit,Client A,
2024-01-19 00:00:00,INV-0019,5181725364,$8776.0,Debit,Supplier X,
2024-01-20 00:00:00,INV-0020,3897167298,$8631.51,Credit,Client B,
2024-01-21 00:00:00,INV-0021,3888720867,$5725.0,Debit,Supplier X,
2024-01-22 00:00:00,INV-0022,2382767507,$7180.86,Credit,Client C,
2024-01-23 00:00:00,INV-0023,3263302684,$9456.54,Credit,Client B,
2024-01-24 00:00:00,INV-0024,7074713974,$9463.71,Debit,Supplier Z,
2024-01-25 00:00:00,INV-0025,3676475429,$6099.71,Credit,Client A,
2024-01-26 00:00:00,INV-0026,1627030388,$4564.88,Debit,Supplier Z,
2024-01-27 00:00:00,INV-0027,8732672213,$8764.84,Credit,Client A,
2024-01-28 00:00:00,INV-0028,5267029634,$6380.79,Credit,Client B,
2024-01-29 00:00:00,INV-0029,7437205631,$7757.6,Credit,Client A,
2024-01-30 00:00:00,INV-0030,5868164867,$9471.94,Credit,Client A,
2024-01-31 00:00:00,INV-0031,4704989866,$97251.15,Credit,Client C,Large Transaction
2024-02-01 00:00:00,INV-0032,2192383868,$5117.86,Credit,Client B,
2024-02-02 00:00:00,INV-0033,4462813529,$3103.61,Credit,Client A,
2024-02-03 00:00:00,INV-0034,9601210180,$3748.14,Debit,Supplier Y,
2024-02-04 00:00:00,INV-0035,6399053540,$9787.49,Credit,Client B,
2024-02-05 00:00:00,INV-0036,2399535791,$8786.76,Debit,Supplier Z,
2024-02-06 00:00:00,INV-0037,6189743233,$1011.43,Credit,Client A,
2024-02-07 00:00:00,INV-0038,1352404403,$4182.02,Credit,Client A,
2024-02-08 00:00:00,INV-0039,8069786377,$4131.76,Credit,Client A,
2024-02-09 00:00:00,INV-0040,4673385384,$8580.47,Credit,Client A,
2024-02-10 00:00:00,INV-0041,7960603851,$4818.55,Credit,Client C,
2024-02-11 00:00:00,INV-0042,6457768155,$5982.51,Debit,Supplier Z,
2024-02-12 00:00:00,INV-0043,1828381517,$7540.09,Debit,Supplier Y,
2024-02-13 00:00:00,INV-0044,3487224483,$1716.28,Credit,Client C,
2024-02-14 00:00:00,INV-0045,8570148142,$2708.07,Credit,Client C,
2024-02-15 00:00:00,INV-0046,3441880030,$534.19,Credit,Client C,
2024-02-16 00:00:00,INV-0047,1227458741,$8161.11,Debit,Supplier Y,
2024-02-17 00:00:00,INV-0048,1323137214,$2658.46,Debit,Supplier Z,
2024-02-18 00:00:00,INV-0049,7647807206,$5458.02,Credit,Client B,
2024-02-19 00:00:00,INV-0050,2681682154,$1686.02,Debit,Supplier Y,
2024-02-20 00:00:00,INV-0051,7048023920,$1709.76,Credit,Client B,
2024-02-21 00:00:00,INV-0052,8694502203,$3567.61,Debit,Supplier Y,
2024-02-22 00:00:00,INV-0053,9724722918,$377.98,Credit,Client A,
2024-02-23 00:00:00,INV-0054,9817431187,$1696.48,Credit,Client C,
2024-02-24 00:00:00,INV-0055,3894259618,$7901.97,Debit,Supplier Z,
2024-02-25 00:00:00,INV-0056,3002124900,$367.77,Credit,Client B,
2024-02-26 00:00:00,INV-0057,6042890323,$2669.65,Debit,Supplier Z,
2024-02-27 00:00:00,INV-0058,8956976088,$4797.6,Debit,Supplier Z,
2024-02-28 00:00:00,INV-0059,6289263923,$106.44,Credit,Client A,
2024-02-29 00:00:00,INV-0060,6637858586,$3150.79,Credit,Client A,
2024-03-01 00:00:00,INV-0061,7904013423,$95101.17,Credit,Client A,Large Transaction
2024-03-02 00:00:00,INV-0062,7129107742,$2772.6,Debit,Supplier Z,
2024-03-03 00:00:00,INV-0063,6715735463,$7759.02,Credit,Client B,
2024-03-04 00:00:00,INV-0064,6850662510,$517.62,Debit,Supplier Y,
2024-03-05 00:00:00,INV-0065,1825413670,$4727.89,Debit,Supplier X,
2024-03-06 00:00:00,INV-0066,8293580109,$1525.86,Credit,Client A,
2024-03-07 00:00:00,INV-0067,4902141397,$7094.0,Debit,Supplier X,
2024-03-08 00:00:00,INV-0068,4810707351,$8627.33,Debit,Supplier Z,
2024-03-09 00:00:00,INV-0069,1392721465,$7699.79,Debit,Supplier Z,
2024-03-10 00:00:00,INV-0070,3570364379,$4841.73,Credit,Client C,
2024-03-11 00:00:00,INV-0071,5384787844,$5618.77,Debit,Supplier Y,
2024-03-12 00:00:00,INV-0072,5437356728,$5977.2,Debit,Supplier Y,
2024-03-13 00:00:00,INV-0073,6551077532,$8886.23,Debit,Supplier Y,
2024-03-14 00:00:00,INV-0074,9998747210,$6222.67,Credit,Client C,
2024-03-15 00:00:00,INV-0075,3119931415,$5894.93,Credit,Client C,
2024-03-16 00:00:00,INV-0076,4168740727,$2089.44,Debit,Supplier X,
2024-03-17 00:00:00,INV-0077,8278941591,$1763.85,Debit,Supplier X,
2024-03-18 00:00:00,INV-0078,8856939608,$6238.85,Debit,Supplier Z,
2024-03-19 00:00:00,INV-0079,7363743633,$2388.95,Credit,Client C,
2024-03-20 00:00:00,INV-0080,6166940055,$3105.94,Credit,Client B,
2024-03-21 00:00:00,INV-0081,6148172725,$8302.14,Debit,Supplier X,
2024-03-22 00:00:00,INV-0082,6367170897,$1513.22,Credit,Client B,
